"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000227347","HNRNPKP2","ENSG00000227347.1"
"2","ENSG00000239912","RPL39P36","ENSG00000239912.1"
"3","ENSG00000268350","FAM156A","ENSG00000268350.6"
"4","ENSG00000233266","HMGB1P31","ENSG00000233266.1"
"5","ENSG00000271797","AC008494.3","ENSG00000271797.1"
"6","ENSG00000235036","AL035456.1","ENSG00000235036.4"
"7","ENSG00000235082","SUMO1P3","ENSG00000235082.2"
"8","ENSG00000225159","NPM1P39","ENSG00000225159.1"
"9","ENSG00000248636","AC002070.1","ENSG00000248636.5"
"10","ENSG00000236723","AL606760.2","ENSG00000236723.2"
"11","ENSG00000274227","AC073575.2","ENSG00000274227.1"
"12","ENSG00000272910","AC090425.3","ENSG00000272910.1"
"13","ENSG00000279307","NDUFAF2P1","ENSG00000279307.1"
"14","ENSG00000254598","CSNK2A3","ENSG00000254598.2"
"15","ENSG00000272540","AL662797.1","ENSG00000272540.1"
"16","ENSG00000200714","Y_RNA","ENSG00000200714.1"
"17","ENSG00000258644","SYNJ2BP-COX16","ENSG00000258644.4"
"18","ENSG00000229388","LINC01715","ENSG00000229388.1"
"19","ENSG00000240087","RPSAP12","ENSG00000240087.3"
"20","ENSG00000249456","AL731577.2","ENSG00000249456.1"
"21","ENSG00000202343","AL078581.1","ENSG00000202343.1"
"22","ENSG00000236814","AC046176.1","ENSG00000236814.1"
"23","ENSG00000272370","AC092354.2","ENSG00000272370.1"
"24","ENSG00000189014","SHLD2P3","ENSG00000189014.7"
"25","ENSG00000228305","PRELID1P6","ENSG00000228305.2"
"26","ENSG00000232186","TERF1P7","ENSG00000232186.1"
"27","ENSG00000242445","RPL7AP11","ENSG00000242445.1"
"28","ENSG00000248559","AC109454.2","ENSG00000248559.1"
"29","ENSG00000260290","AC092115.1","ENSG00000260290.2"
"30","ENSG00000238832","AC004839.1","ENSG00000238832.1"
"31","ENSG00000277662","AL354696.1","ENSG00000277662.1"
"32","ENSG00000256745","AP002784.2","ENSG00000256745.1"
"33","ENSG00000227848","SUCLA2-AS1","ENSG00000227848.1"
"34","ENSG00000261141","AC092718.5","ENSG00000261141.1"
"35","ENSG00000235400","AC104837.1","ENSG00000235400.1"
"36","ENSG00000258568","RHOQP1","ENSG00000258568.1"
"37","ENSG00000251994","RNU2-27P","ENSG00000251994.1"
"38","ENSG00000250144","AC104619.3","ENSG00000250144.1"
"39","ENSG00000280054","AC004241.5","ENSG00000280054.1"
"40","ENSG00000226055","PAICSP1","ENSG00000226055.2"
"41","ENSG00000253785","AC008429.2","ENSG00000253785.1"
"42","ENSG00000258741","H2AZ2P1","ENSG00000258741.3"
"43","ENSG00000199906","RNU5B-2P","ENSG00000199906.1"
"44","ENSG00000267546","AC015802.4","ENSG00000267546.2"
"45","ENSG00000260360","AL353708.1","ENSG00000260360.1"
"46","ENSG00000233057","EEF1A1P14","ENSG00000233057.1"
"47","ENSG00000228925","AC016722.2","ENSG00000228925.1"
"48","ENSG00000231822","SMC3P1","ENSG00000231822.1"
"49","ENSG00000250151","ARPC4-TTLL3","ENSG00000250151.8"
"50","ENSG00000253605","HNRNPA1P38","ENSG00000253605.1"
"51","ENSG00000260448","LCMT1-AS1","ENSG00000260448.4"
"52","ENSG00000272148","AC013403.2","ENSG00000272148.1"
"53","ENSG00000250326","AC104596.1","ENSG00000250326.1"
"54","ENSG00000233270","SNRPEP4","ENSG00000233270.1"
"55","ENSG00000280186","AL359258.3","ENSG00000280186.1"
"56","ENSG00000273369","AC096586.2","ENSG00000273369.1"
"57","ENSG00000251411","AC093827.3","ENSG00000251411.1"
"58","ENSG00000270890","AL049844.2","ENSG00000270890.1"
"59","ENSG00000234129","AC073529.1","ENSG00000234129.6"
"60","ENSG00000257052","AP003721.4","ENSG00000257052.1"
"61","ENSG00000228107","AP000692.1","ENSG00000228107.1"
"62","ENSG00000205583","STAG3L1","ENSG00000205583.12"
"63","ENSG00000259287","AC010809.1","ENSG00000259287.2"
"64","ENSG00000215210","RBMXP2","ENSG00000215210.3"
"65","ENSG00000205609","EIF3CL","ENSG00000205609.11"
"66","ENSG00000235958","UBOX5-AS1","ENSG00000235958.4"
"67","ENSG00000255883","FUNDC2P1","ENSG00000255883.1"
"68","ENSG00000278206","AL031320.2","ENSG00000278206.1"
"69","ENSG00000260698","AL591848.3","ENSG00000260698.1"
"70","ENSG00000266783","AP005136.3","ENSG00000266783.1"
"71","ENSG00000200090","Y_RNA","ENSG00000200090.1"
"72","ENSG00000229122","AGBL5-IT1","ENSG00000229122.1"
"73","ENSG00000279923","AC022417.1","ENSG00000279923.1"
"74","ENSG00000268279","AC090004.1","ENSG00000268279.3"
"75","ENSG00000261596","AC005632.3","ENSG00000261596.2"
"76","ENSG00000269949","AC069307.1","ENSG00000269949.1"
"77","ENSG00000273343","AC007663.4","ENSG00000273343.1"
"78","ENSG00000268628","AL121761.1","ENSG00000268628.2"
"79","ENSG00000269559","AC093677.2","ENSG00000269559.2"
"80","ENSG00000273010","AL360270.3","ENSG00000273010.1"
"81","ENSG00000254788","CKLF-CMTM1","ENSG00000254788.5"
"82","ENSG00000228791","THRB-AS1","ENSG00000228791.6"
"83","ENSG00000228852","AC092802.2","ENSG00000228852.5"
"84","ENSG00000257913","DDN-AS1","ENSG00000257913.2"
"85","ENSG00000276390","AC004241.3","ENSG00000276390.1"
"86","ENSG00000230185","C9orf147","ENSG00000230185.4"
"87","ENSG00000263990","AC004253.1","ENSG00000263990.1"
"88","ENSG00000213763","ACTBP2","ENSG00000213763.4"
"89","ENSG00000232725","U52111.1","ENSG00000232725.1"
"90","ENSG00000227791","RPS10P9","ENSG00000227791.3"
"91","ENSG00000272509","AC087752.4","ENSG00000272509.1"
"92","ENSG00000279873","LINC01126","ENSG00000279873.2"
"93","ENSG00000272567","AC109347.2","ENSG00000272567.1"
"94","ENSG00000280010","AP001350.2","ENSG00000280010.1"
"95","ENSG00000280129","AL132780.5","ENSG00000280129.1"
"96","ENSG00000254064","AC105206.2","ENSG00000254064.1"
"97","ENSG00000259736","CRTC3-AS1","ENSG00000259736.1"
"98","ENSG00000204055","AL158151.1","ENSG00000204055.4"
"99","ENSG00000241313","WWTR1-AS1","ENSG00000241313.2"
"100","ENSG00000226352","PSPC1-AS2","ENSG00000226352.2"
"101","ENSG00000180245","RRH","ENSG00000180245.4"
"102","ENSG00000278396","AL122023.1","ENSG00000278396.1"
"103","ENSG00000279611","AC012313.10","ENSG00000279611.1"
"104","ENSG00000260625","AC026471.2","ENSG00000260625.2"
"105","ENSG00000188375","H3-5","ENSG00000188375.4"
"106","ENSG00000237938","AL450998.2","ENSG00000237938.4"
"107","ENSG00000265798","AC138207.6","ENSG00000265798.5"
"108","ENSG00000261118","AC092123.1","ENSG00000261118.1"
"109","ENSG00000250012","AC079848.1","ENSG00000250012.1"
"110","ENSG00000223361","FTH1P10","ENSG00000223361.5"
"111","ENSG00000244073","RPS4XP6","ENSG00000244073.1"
"112","ENSG00000260269","AC105036.3","ENSG00000260269.4"
"113","ENSG00000250999","AC136604.2","ENSG00000250999.1"
"114","ENSG00000260103","AC012435.2","ENSG00000260103.2"
"115","ENSG00000267082","AC011472.1","ENSG00000267082.1"
"116","ENSG00000251211","AC136632.2","ENSG00000251211.1"
"117","ENSG00000261620","HMGN2P41","ENSG00000261620.1"
"118","ENSG00000262050","AC005696.1","ENSG00000262050.1"
"119","ENSG00000180015","AC093909.1","ENSG00000180015.12"
"120","ENSG00000265975","AC002091.1","ENSG00000265975.1"
"121","ENSG00000275645","AC068338.3","ENSG00000275645.1"
"122","ENSG00000243964","RPL23AP65","ENSG00000243964.1"
"123","ENSG00000279660","AC005703.5","ENSG00000279660.1"
"124","ENSG00000213235","EEF1A1P16","ENSG00000213235.3"
"125","ENSG00000230772","VN1R108P","ENSG00000230772.1"
"126","ENSG00000253582","AC090579.1","ENSG00000253582.1"
"127","ENSG00000268182","SMIM17","ENSG00000268182.4"
"128","ENSG00000215388","ACTG1P3","ENSG00000215388.3"
"129","ENSG00000229728","AL136531.1","ENSG00000229728.1"
"130","ENSG00000230149","AL021707.3","ENSG00000230149.2"
"131","ENSG00000223529","EEF1A1P8","ENSG00000223529.1"
"132","ENSG00000226268","AC135977.1","ENSG00000226268.3"
"133","ENSG00000228224","NACA4P","ENSG00000228224.3"
"134","ENSG00000251201","TMED7-TICAM2","ENSG00000251201.7"
"135","ENSG00000251495","PPIAP11","ENSG00000251495.1"
"136","ENSG00000271784","AL031055.1","ENSG00000271784.1"
"137","ENSG00000243746","EEF1A1P10","ENSG00000243746.1"
"138","ENSG00000217027","TPT1P4","ENSG00000217027.1"
"139","ENSG00000226232","NPIPB14P","ENSG00000226232.7"
"140","ENSG00000258136","AC007622.2","ENSG00000258136.1"
"141","ENSG00000256282","AC112694.1","ENSG00000256282.1"
"142","ENSG00000272861","AC012360.2","ENSG00000272861.1"
"143","ENSG00000274818","AC004825.2","ENSG00000274818.1"
"144","ENSG00000227210","AC079145.1","ENSG00000227210.1"
"145","ENSG00000272914","AL359532.1","ENSG00000272914.1"
"146","ENSG00000272588","AC139887.4","ENSG00000272588.1"
"147","ENSG00000263276","AC020978.7","ENSG00000263276.1"
"148","ENSG00000251414","AC138956.2","ENSG00000251414.1"
"149","ENSG00000259015","AL442663.4","ENSG00000259015.1"
"150","ENSG00000238186","AL603839.2","ENSG00000238186.1"
"151","ENSG00000223668","EEF1A1P24","ENSG00000223668.1"
"152","ENSG00000149646","CNBD2","ENSG00000149646.11"
"153","ENSG00000262185","LINC02861","ENSG00000262185.1"
"154","ENSG00000274105","AC084824.3","ENSG00000274105.1"
"155","ENSG00000257285","AL132780.1","ENSG00000257285.4"
"156","ENSG00000268442","AC073534.1","ENSG00000268442.1"
"157","ENSG00000130783","CCDC62","ENSG00000130783.12"
"158","ENSG00000250892","AC108475.1","ENSG00000250892.1"
"159","ENSG00000237356","AL365295.1","ENSG00000237356.4"
"160","ENSG00000257446","ZNF878","ENSG00000257446.3"
"161","ENSG00000186714","CCDC73","ENSG00000186714.11"
"162","ENSG00000250073","AP000866.2","ENSG00000250073.2"
"163","ENSG00000267422","AC016582.2","ENSG00000267422.1"
"164","ENSG00000236861","BET1-AS1","ENSG00000236861.5"
"165","ENSG00000263597","MIR3936","ENSG00000263597.1"
"166","ENSG00000205790","DPP9-AS1","ENSG00000205790.1"
"167","ENSG00000244926","ALKBH3-AS1","ENSG00000244926.5"
"168","ENSG00000214784","RPS3AP21","ENSG00000214784.4"
"169","ENSG00000279837","AC112694.2","ENSG00000279837.1"
"170","ENSG00000258352","IFITM3P6","ENSG00000258352.1"
"171","ENSG00000273654","AC020904.2","ENSG00000273654.1"
"172","ENSG00000233892","PAIP1P1","ENSG00000233892.1"
"173","ENSG00000237484","LINC01684","ENSG00000237484.5"
