"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"106","ENSG00000279656","AL132780.4","ENSG00000279656.1"
"107","ENSG00000275180","AC048341.2","ENSG00000275180.1"
"108","ENSG00000213189","BTF3L4P2","ENSG00000213189.5"
"109","ENSG00000228205","AC131235.1","ENSG00000228205.1"
"110","ENSG00000227939","RPL3P2","ENSG00000227939.1"
"111","ENSG00000266921","AC006213.1","ENSG00000266921.1"
"112","ENSG00000205871","RPS3AP47","ENSG00000205871.5"
"113","ENSG00000232346","Z74021.1","ENSG00000232346.1"
"114","ENSG00000230189","AC008267.2","ENSG00000230189.5"
"115","ENSG00000212127","TAS2R14","ENSG00000212127.5"
"116","ENSG00000185739","SRL","ENSG00000185739.12"
"117","ENSG00000182916","TCEAL7","ENSG00000182916.7"
"118","ENSG00000269693","AC010422.6","ENSG00000269693.1"
"119","ENSG00000272768","AC004854.2","ENSG00000272768.1"
"120","ENSG00000203546","AL139353.1","ENSG00000203546.6"
"121","ENSG00000273183","AC093726.2","ENSG00000273183.1"
"122","ENSG00000227855","DPY19L2P3","ENSG00000227855.3"
"123","ENSG00000159905","ZNF221","ENSG00000159905.13"
"124","ENSG00000237836","PHKA2-AS1","ENSG00000237836.4"
"125","ENSG00000272084","AL137127.1","ENSG00000272084.1"
"126","ENSG00000260236","AC099778.1","ENSG00000260236.1"
"127","ENSG00000147437","GNRH1","ENSG00000147437.8"
"128","ENSG00000278175","GLIDR","ENSG00000278175.2"
"129","ENSG00000213888","LINC01521","ENSG00000213888.3"
"130","ENSG00000229413","AC018638.1","ENSG00000229413.2"
"131","ENSG00000269906","AL606834.1","ENSG00000269906.1"
"132","ENSG00000103472","RRN3P2","ENSG00000103472.8"
"133","ENSG00000267649","AC010327.5","ENSG00000267649.1"
"134","ENSG00000272087","AC080013.4","ENSG00000272087.1"
"135","ENSG00000272630","AL731563.3","ENSG00000272630.1"
"136","ENSG00000235245","AL360181.2","ENSG00000235245.1"
"137","ENSG00000229808","AL391825.1","ENSG00000229808.1"
"138","ENSG00000232811","AL360270.1","ENSG00000232811.1"
"139","ENSG00000274383","AC103691.1","ENSG00000274383.1"
"140","ENSG00000223546","LINC00630","ENSG00000223546.5"
