"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000239912","RPL39P36","ENSG00000239912.1"
"2","ENSG00000272910","AC090425.3","ENSG00000272910.1"
"3","ENSG00000249494","AC008629.1","ENSG00000249494.4"
"4","ENSG00000269889","AC078802.1","ENSG00000269889.1"
"5","ENSG00000235734","HMGN1P36","ENSG00000235734.4"
"6","ENSG00000277020","AL590096.1","ENSG00000277020.3"
"7","ENSG00000272843","AC211476.2","ENSG00000272843.1"
"8","ENSG00000243389","AC012442.2","ENSG00000243389.1"
"9","ENSG00000270083","AL021878.2","ENSG00000270083.1"
"10","ENSG00000230092","AL669831.4","ENSG00000230092.6"
"11","ENSG00000258644","SYNJ2BP-COX16","ENSG00000258644.4"
"12","ENSG00000233984","RPSAP14","ENSG00000233984.1"
"13","ENSG00000281849","AL732314.6","ENSG00000281849.1"
"14","ENSG00000226849","AL109811.1","ENSG00000226849.1"
"15","ENSG00000223711","AC069213.1","ENSG00000223711.1"
"16","ENSG00000280502","Metazoa_SRP","ENSG00000280502.1"
"17","ENSG00000279080","AL022322.2","ENSG00000279080.1"
"18","ENSG00000234141","AC006042.3","ENSG00000234141.1"
"19","ENSG00000238228","OR7E7P","ENSG00000238228.1"
"20","ENSG00000269952","AL117336.1","ENSG00000269952.1"
"21","ENSG00000260368","AC027373.1","ENSG00000260368.1"
"22","ENSG00000224415","AC007683.1","ENSG00000224415.1"
"23","ENSG00000227347","HNRNPKP2","ENSG00000227347.1"
"24","ENSG00000267544","AC007229.1","ENSG00000267544.1"
"25","ENSG00000248919","ATP5MF-PTCD1","ENSG00000248919.6"
"26","ENSG00000234825","XRCC6P2","ENSG00000234825.3"
"27","ENSG00000271978","AL359643.2","ENSG00000271978.1"
"28","ENSG00000268350","FAM156A","ENSG00000268350.6"
"29","ENSG00000274227","AC073575.2","ENSG00000274227.1"
"30","ENSG00000262728","AC123768.2","ENSG00000262728.4"
"31","ENSG00000223776","LGALS8-AS1","ENSG00000223776.5"
"32","ENSG00000268201","AC020915.1","ENSG00000268201.1"
"33","ENSG00000234281","LANCL1-AS1","ENSG00000234281.4"
"34","ENSG00000225695","HNRNPA1P35","ENSG00000225695.1"
"35","ENSG00000241556","AC018475.1","ENSG00000241556.1"
"36","ENSG00000225891","DHDDS-AS1","ENSG00000225891.1"
"37","ENSG00000227492","AL138921.1","ENSG00000227492.1"
"38","ENSG00000212588","SNORA26","ENSG00000212588.1"
"39","ENSG00000272885","AC092574.1","ENSG00000272885.1"
"40","ENSG00000242337","INHCAP","ENSG00000242337.4"
"41","ENSG00000271967","AL583856.2","ENSG00000271967.1"
"42","ENSG00000260927","AC009107.2","ENSG00000260927.1"
"43","ENSG00000275485","AL512652.1","ENSG00000275485.1"
"44","ENSG00000254165","AC090739.1","ENSG00000254165.1"
"45","ENSG00000212125","TAS2R15P","ENSG00000212125.2"
"46","ENSG00000201302","SNORA65","ENSG00000201302.1"
"47","ENSG00000233057","EEF1A1P14","ENSG00000233057.1"
"48","ENSG00000144852","NR1I2","ENSG00000144852.15"
"49","ENSG00000240591","AL096701.3","ENSG00000240591.1"
"50","ENSG00000260490","MYL12BP1","ENSG00000260490.2"
"51","ENSG00000161132","AC007663.1","ENSG00000161132.6"
"52","ENSG00000262420","AC007613.1","ENSG00000262420.3"
"53","ENSG00000240395","RPL5P23","ENSG00000240395.1"
"54","ENSG00000184361","SPATA32","ENSG00000184361.11"
"55","ENSG00000179101","H3P47","ENSG00000179101.5"
"56","ENSG00000274105","AC084824.3","ENSG00000274105.1"
"57","ENSG00000243960","AL390195.1","ENSG00000243960.1"
"58","ENSG00000223529","EEF1A1P8","ENSG00000223529.1"
"59","ENSG00000205790","DPP9-AS1","ENSG00000205790.1"
"60","ENSG00000271914","AL139286.1","ENSG00000271914.1"
"61","ENSG00000275709","AC090527.4","ENSG00000275709.1"
"62","ENSG00000270228","AC079880.1","ENSG00000270228.1"
"63","ENSG00000250365","AL139353.2","ENSG00000250365.5"
"64","ENSG00000278959","AC006378.1","ENSG00000278959.1"
"65","ENSG00000235958","UBOX5-AS1","ENSG00000235958.4"
"66","ENSG00000251323","LINC02728","ENSG00000251323.2"
"67","ENSG00000257740","AC073896.3","ENSG00000257740.1"
"68","ENSG00000273483","AL354760.1","ENSG00000273483.1"
"69","ENSG00000258384","RCCD1-AS1","ENSG00000258384.1"
"70","ENSG00000232600","TONSL-AS1","ENSG00000232600.3"
"71","ENSG00000204556","AL450124.1","ENSG00000204556.4"
"72","ENSG00000259736","CRTC3-AS1","ENSG00000259736.1"
"73","ENSG00000235530","AC087294.1","ENSG00000235530.5"
"74","ENSG00000188981","MSANTD1","ENSG00000188981.9"
"75","ENSG00000261487","AC135048.1","ENSG00000261487.1"
"76","ENSG00000226245","ZNF32-AS1","ENSG00000226245.1"
"77","ENSG00000261173","AC018845.3","ENSG00000261173.1"
"78","ENSG00000269925","Z98884.2","ENSG00000269925.1"
"79","ENSG00000200714","Y_RNA","ENSG00000200714.1"
"80","ENSG00000280327","Z97633.1","ENSG00000280327.1"
"81","ENSG00000262228","AC087392.3","ENSG00000262228.2"
"82","ENSG00000273369","AC096586.2","ENSG00000273369.1"
"83","ENSG00000269921","AC068620.1","ENSG00000269921.1"
"84","ENSG00000244926","ALKBH3-AS1","ENSG00000244926.5"
"85","ENSG00000277998","AC107075.1","ENSG00000277998.1"
"86","ENSG00000244184","AC091153.3","ENSG00000244184.1"
"87","ENSG00000231006","RPL7P32","ENSG00000231006.1"
"88","ENSG00000257052","AP003721.4","ENSG00000257052.1"
"89","ENSG00000224858","RPL29P11","ENSG00000224858.5"
"90","ENSG00000215529","EFCAB8","ENSG00000215529.11"
"91","ENSG00000266783","AP005136.3","ENSG00000266783.1"
"92","ENSG00000279894","Z73965.1","ENSG00000279894.1"
"93","ENSG00000279031","AC004232.2","ENSG00000279031.1"
"94","ENSG00000271816","BMS1P4","ENSG00000271816.1"
"95","ENSG00000228053","AL158823.1","ENSG00000228053.1"
"96","ENSG00000273306","AC018690.1","ENSG00000273306.1"
"97","ENSG00000272072","AC004492.1","ENSG00000272072.1"
"98","ENSG00000279633","AL137918.1","ENSG00000279633.1"
"99","ENSG00000260360","AL353708.1","ENSG00000260360.1"
"100","ENSG00000265917","MIR3685","ENSG00000265917.1"
"101","ENSG00000140675","SLC5A2","ENSG00000140675.11"
"102","ENSG00000254231","AC103760.1","ENSG00000254231.1"
"103","ENSG00000248559","AC109454.2","ENSG00000248559.1"
"104","ENSG00000273747","AC022558.3","ENSG00000273747.1"
"105","ENSG00000280010","AP001350.2","ENSG00000280010.1"
"106","ENSG00000212124","TAS2R19","ENSG00000212124.2"
"107","ENSG00000272735","AC007881.3","ENSG00000272735.1"
"108","ENSG00000120729","MYOT","ENSG00000120729.8"
"109","ENSG00000170092","SPDYE5","ENSG00000170092.13"
"110","ENSG00000108958","AC130689.1","ENSG00000108958.4"
"111","ENSG00000276931","AC009041.3","ENSG00000276931.1"
"112","ENSG00000272170","AL355385.1","ENSG00000272170.1"
"113","ENSG00000232648","AC107214.1","ENSG00000232648.3"
"114","ENSG00000271265","AL355297.2","ENSG00000271265.1"
"115","ENSG00000272892","AL133551.1","ENSG00000272892.1"
"116","ENSG00000253882","AC099548.2","ENSG00000253882.5"
"117","ENSG00000233469","ST6GALNAC4P1","ENSG00000233469.1"
"118","ENSG00000258944","AC004846.2","ENSG00000258944.1"
"119","ENSG00000230673","PABPC1P3","ENSG00000230673.3"
"120","ENSG00000231249","ITPR1-DT","ENSG00000231249.1"
"121","ENSG00000225159","NPM1P39","ENSG00000225159.1"
"122","ENSG00000228906","AL353804.1","ENSG00000228906.1"
"123","ENSG00000250764","AC025178.1","ENSG00000250764.1"
"124","ENSG00000244668","SNRPCP3","ENSG00000244668.1"
"125","ENSG00000235989","MORC2-AS1","ENSG00000235989.3"
"126","ENSG00000271926","AC008972.1","ENSG00000271926.1"
"127","ENSG00000278601","AL158163.2","ENSG00000278601.1"
"128","ENSG00000237054","PRMT5-AS1","ENSG00000237054.8"
"129","ENSG00000254027","AC009902.2","ENSG00000254027.1"
"130","ENSG00000272432","AL031432.3","ENSG00000272432.1"
"131","ENSG00000272721","AC131235.2","ENSG00000272721.4"
"132","ENSG00000269559","AC093677.2","ENSG00000269559.2"
"133","ENSG00000251000","GGCTP1","ENSG00000251000.1"
"134","ENSG00000227165","WDR11-AS1","ENSG00000227165.6"
"135","ENSG00000226706","AL161452.1","ENSG00000226706.1"
"136","ENSG00000239332","LINC01119","ENSG00000239332.4"
"137","ENSG00000279765","AC013394.1","ENSG00000279765.2"
"138","ENSG00000236861","BET1-AS1","ENSG00000236861.5"
"139","ENSG00000277728","AC097641.2","ENSG00000277728.1"
"140","ENSG00000180336","MEIOC","ENSG00000180336.16"
"141","ENSG00000223313","RNU6-516P","ENSG00000223313.1"
"142","ENSG00000238133","MAP3K20-AS1","ENSG00000238133.5"
"143","ENSG00000226945","AC098935.1","ENSG00000226945.1"
"144","ENSG00000267769","AC011498.6","ENSG00000267769.1"
"145","ENSG00000267480","AP001542.3","ENSG00000267480.1"
"146","ENSG00000223714","LINC02601","ENSG00000223714.1"
"147","ENSG00000276524","AC010999.2","ENSG00000276524.1"
"148","ENSG00000279464","AC096720.2","ENSG00000279464.1"
"149","ENSG00000108576","SLC6A4","ENSG00000108576.8"
"150","ENSG00000268222","EEF1A1P7","ENSG00000268222.1"
"151","ENSG00000185055","EFCAB10","ENSG00000185055.9"
