"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"4910","ENSG00000187953","PMS2CL","ENSG00000187953.9"
"4911","ENSG00000280254","AC233723.2","ENSG00000280254.1"
"4912","ENSG00000070731","ST6GALNAC2","ENSG00000070731.8"
"4913","ENSG00000090539","CHRD","ENSG00000090539.14"
"4914","ENSG00000064201","TSPAN32","ENSG00000064201.14"
"4915","ENSG00000140511","HAPLN3","ENSG00000140511.10"
"4916","ENSG00000012048","BRCA1","ENSG00000012048.18"
"4917","ENSG00000269313","MAGIX","ENSG00000269313.4"
"4918","ENSG00000080947","CROCCP3","ENSG00000080947.13"
"4919","ENSG00000121905","HPCA","ENSG00000121905.8"
"4920","ENSG00000100368","CSF2RB","ENSG00000100368.12"
"4921","ENSG00000231607","DLEU2","ENSG00000231607.7"
"4922","ENSG00000165121","AL353743.1","ENSG00000165121.10"
"4923","ENSG00000183837","PNMA3","ENSG00000183837.9"
"4924","ENSG00000267673","FDX2","ENSG00000267673.5"
"4925","ENSG00000275131","AC241952.1","ENSG00000275131.1"
"4926","ENSG00000030419","IKZF2","ENSG00000030419.15"
"4927","ENSG00000127080","IPPK","ENSG00000127080.8"
"4928","ENSG00000119636","BBOF1","ENSG00000119636.14"
"4929","ENSG00000247626","MARS2","ENSG00000247626.4"
"4930","ENSG00000231205","ZNF826P","ENSG00000231205.10"
"4931","ENSG00000246067","RAB30-DT","ENSG00000246067.6"
"4932","ENSG00000281490","CICP14","ENSG00000281490.1"
"4933","ENSG00000261269","AC093278.2","ENSG00000261269.1"
"4934","ENSG00000176428","VPS37D","ENSG00000176428.5"
"4935","ENSG00000212916","MAP10","ENSG00000212916.4"
"4936","ENSG00000255508","AP002990.1","ENSG00000255508.6"
"4937","ENSG00000162882","HAAO","ENSG00000162882.13"
"4938","ENSG00000182993","C12orf60","ENSG00000182993.3"
"4939","ENSG00000169515","CCDC8","ENSG00000169515.5"
"4940","ENSG00000174740","PABPC5","ENSG00000174740.7"
"4941","ENSG00000248859","LINC01574","ENSG00000248859.2"
"4942","ENSG00000187323","DCC","ENSG00000187323.10"
"4943","ENSG00000241360","PDXP","ENSG00000241360.1"
"4944","ENSG00000196391","ZNF774","ENSG00000196391.9"
"4945","ENSG00000270885","RASL10B","ENSG00000270885.1"
"4946","ENSG00000267575","AC006504.5","ENSG00000267575.5"
"4947","ENSG00000248508","SRP14-AS1","ENSG00000248508.5"
"4948","ENSG00000224223","VSTM2A-OT1","ENSG00000224223.1"
"4949","ENSG00000206549","AC109583.1","ENSG00000206549.11"
"4950","ENSG00000137672","TRPC6","ENSG00000137672.11"
"4951","ENSG00000196696","PDXDC2P-NPIPB14P","ENSG00000196696.11"
"4952","ENSG00000107821","KAZALD1","ENSG00000107821.13"
"4953","ENSG00000176896","TCEANC","ENSG00000176896.8"
"4954","ENSG00000135750","KCNK1","ENSG00000135750.13"
"4955","ENSG00000197372","ZNF675","ENSG00000197372.8"
"4956","ENSG00000135637","CCDC142","ENSG00000135637.12"
"4957","ENSG00000120088","CRHR1","ENSG00000120088.13"
"4958","ENSG00000181274","FRAT2","ENSG00000181274.6"
"4959","ENSG00000186496","ZNF396","ENSG00000186496.9"
"4960","ENSG00000170089","AC106795.1","ENSG00000170089.14"
"4961","ENSG00000185869","ZNF829","ENSG00000185869.12"
"4962","ENSG00000126882","FAM78A","ENSG00000126882.11"
"4963","ENSG00000180089","TMEM86B","ENSG00000180089.5"
"4964","ENSG00000255857","PXN-AS1","ENSG00000255857.4"
"4965","ENSG00000267855","NDUFA7","ENSG00000267855.4"
"4966","ENSG00000167984","NLRC3","ENSG00000167984.15"
"4967","ENSG00000249471","ZNF324B","ENSG00000249471.6"
"4968","ENSG00000232040","ZBED9","ENSG00000232040.2"
"4969","ENSG00000147647","DPYS","ENSG00000147647.11"
"4970","ENSG00000174007","CEP19","ENSG00000174007.7"
"4971","ENSG00000171659","GPR34","ENSG00000171659.12"
"4972","ENSG00000251192","ZNF674","ENSG00000251192.6"
"4973","ENSG00000115616","SLC9A2","ENSG00000115616.2"
"4974","ENSG00000126953","TIMM8A","ENSG00000126953.5"
"4975","ENSG00000135547","HEY2","ENSG00000135547.7"
"4976","ENSG00000122986","HVCN1","ENSG00000122986.12"
"4977","ENSG00000156384","SFR1","ENSG00000156384.13"
"4978","ENSG00000107968","MAP3K8","ENSG00000107968.8"
"4979","ENSG00000177082","WDR73","ENSG00000177082.11"
"4980","ENSG00000280187","AC022107.1","ENSG00000280187.1"
"4981","ENSG00000227081","AC005912.1","ENSG00000227081.5"
"4982","ENSG00000136149","RPL13AP25","ENSG00000136149.6"
"4983","ENSG00000076944","STXBP2","ENSG00000076944.13"
"4984","ENSG00000197467","COL13A1","ENSG00000197467.12"
"4985","ENSG00000178860","MSC","ENSG00000178860.8"
"4986","ENSG00000235257","ITGA9-AS1","ENSG00000235257.7"
"4987","ENSG00000263142","LRRC37A17P","ENSG00000263142.4"
"4988","ENSG00000010704","HFE","ENSG00000010704.17"
"4989","ENSG00000260912","AL158206.1","ENSG00000260912.1"
"4990","ENSG00000169330","MINAR1","ENSG00000169330.7"
"4991","ENSG00000272821","U62317.1","ENSG00000272821.1"
"4992","ENSG00000141293","SKAP1","ENSG00000141293.14"
"4993","ENSG00000156218","ADAMTSL3","ENSG00000156218.11"
"4994","ENSG00000103888","CEMIP","ENSG00000103888.14"
"4995","ENSG00000269713","NBPF9","ENSG00000269713.6"
"4996","ENSG00000146285","SCML4","ENSG00000146285.12"
"4997","ENSG00000243199","AC115223.1","ENSG00000243199.1"
"4998","ENSG00000139344","AMDHD1","ENSG00000139344.6"
"4999","ENSG00000077327","SPAG6","ENSG00000077327.14"
"5000","ENSG00000198835","GJC2","ENSG00000198835.3"
