"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"13484","ENSG00000196296","ATP2A1","ENSG00000196296.12"
"13485","ENSG00000196305","IARS1","ENSG00000196305.16"
"13486","ENSG00000196312","MFSD14C","ENSG00000196312.10"
"13487","ENSG00000196313","POM121","ENSG00000196313.10"
"13488","ENSG00000196323","ZBTB44","ENSG00000196323.10"
"13489","ENSG00000196329","GIMAP5","ENSG00000196329.9"
"13490","ENSG00000196335","STK31","ENSG00000196335.11"
"13491","ENSG00000196337","CGB7","ENSG00000196337.9"
"13492","ENSG00000196338","NLGN3","ENSG00000196338.11"
"13493","ENSG00000196344","ADH7","ENSG00000196344.10"
"13494","ENSG00000196345","ZKSCAN7","ENSG00000196345.11"
"13495","ENSG00000196352","CD55","ENSG00000196352.12"
"13496","ENSG00000196353","CPNE4","ENSG00000196353.10"
"13497","ENSG00000196357","ZNF565","ENSG00000196357.10"
"13498","ENSG00000196358","NTNG2","ENSG00000196358.9"
"13499","ENSG00000196363","WDR5","ENSG00000196363.8"
"13500","ENSG00000196365","LONP1","ENSG00000196365.10"
"13501","ENSG00000196366","C9orf163","ENSG00000196366.3"
"13502","ENSG00000196367","TRRAP","ENSG00000196367.11"
"13503","ENSG00000196368","NUDT11","ENSG00000196368.4"
"13504","ENSG00000196369","SRGAP2B","ENSG00000196369.9"
"13505","ENSG00000196371","FUT4","ENSG00000196371.3"
"13506","ENSG00000196372","ASB13","ENSG00000196372.11"
"13507","ENSG00000196378","ZNF34","ENSG00000196378.10"
"13508","ENSG00000196381","ZNF781","ENSG00000196381.9"
"13509","ENSG00000196387","ZNF140","ENSG00000196387.8"
"13510","ENSG00000196388","INCA1","ENSG00000196388.7"
"13511","ENSG00000196391","ZNF774","ENSG00000196391.9"
"13512","ENSG00000196396","PTPN1","ENSG00000196396.8"
"13513","ENSG00000196405","EVL","ENSG00000196405.11"
"13514","ENSG00000196407","THEM5","ENSG00000196407.10"
"13515","ENSG00000196411","EPHB4","ENSG00000196411.8"
"13516","ENSG00000196417","ZNF765","ENSG00000196417.11"
"13517","ENSG00000196418","ZNF124","ENSG00000196418.11"
"13518","ENSG00000196419","XRCC6","ENSG00000196419.11"
"13519","ENSG00000196420","S100A5","ENSG00000196420.6"
"13520","ENSG00000196421","C20orf204","ENSG00000196421.6"
"13521","ENSG00000196422","PPP1R26","ENSG00000196422.9"
"13522","ENSG00000196428","TSC22D2","ENSG00000196428.11"
"13523","ENSG00000196436","NPIPB15","ENSG00000196436.8"
"13524","ENSG00000196437","ZNF569","ENSG00000196437.9"
"13525","ENSG00000196440","ARMCX4","ENSG00000196440.10"
"13526","ENSG00000196449","YRDC","ENSG00000196449.3"
"13527","ENSG00000196453","ZNF777","ENSG00000196453.7"
"13528","ENSG00000196455","PIK3R4","ENSG00000196455.6"
"13529","ENSG00000196456","ZNF775","ENSG00000196456.7"
"13530","ENSG00000196458","ZNF605","ENSG00000196458.9"
"13531","ENSG00000196459","TRAPPC2","ENSG00000196459.12"
"13532","ENSG00000196460","RFX8","ENSG00000196460.11"
"13533","ENSG00000196465","MYL6B","ENSG00000196465.9"
"13534","ENSG00000196466","ZNF799","ENSG00000196466.9"
"13535","ENSG00000196470","SIAH1","ENSG00000196470.10"
"13536","ENSG00000196476","C20orf96","ENSG00000196476.10"
"13537","ENSG00000196482","ESRRG","ENSG00000196482.15"
"13538","ENSG00000196497","IPO4","ENSG00000196497.14"
"13539","ENSG00000196498","NCOR2","ENSG00000196498.12"
"13540","ENSG00000196502","SULT1A1","ENSG00000196502.10"
"13541","ENSG00000196503","ARL9","ENSG00000196503.2"
"13542","ENSG00000196504","PRPF40A","ENSG00000196504.14"
"13543","ENSG00000196505","GDAP2","ENSG00000196505.9"
"13544","ENSG00000196507","TCEAL3","ENSG00000196507.9"
"13545","ENSG00000196510","ANAPC7","ENSG00000196510.11"
"13546","ENSG00000196511","TPK1","ENSG00000196511.12"
"13547","ENSG00000196517","SLC6A9","ENSG00000196517.10"
"13548","ENSG00000196526","AFAP1","ENSG00000196526.9"
"13549","ENSG00000196531","NACA","ENSG00000196531.9"
"13550","ENSG00000196535","MYO18A","ENSG00000196535.13"
"13551","ENSG00000196542","SPTSSB","ENSG00000196542.7"
"13552","ENSG00000196544","BORCS6","ENSG00000196544.7"
"13553","ENSG00000196547","MAN2A2","ENSG00000196547.13"
"13554","ENSG00000196549","MME","ENSG00000196549.9"
"13555","ENSG00000196550","FAM72A","ENSG00000196550.9"
"13556","ENSG00000196557","CACNA1H","ENSG00000196557.9"
"13557","ENSG00000196562","SULF2","ENSG00000196562.13"
"13558","ENSG00000196569","LAMA2","ENSG00000196569.10"
"13559","ENSG00000196576","PLXNB2","ENSG00000196576.13"
"13560","ENSG00000196581","AJAP1","ENSG00000196581.9"
"13561","ENSG00000196584","XRCC2","ENSG00000196584.2"
"13562","ENSG00000196586","MYO6","ENSG00000196586.12"
"13563","ENSG00000196588","MRTFA","ENSG00000196588.13"
"13564","ENSG00000196591","HDAC2","ENSG00000196591.10"
"13565","ENSG00000196597","ZNF782","ENSG00000196597.10"
"13566","ENSG00000196605","ZNF846","ENSG00000196605.6"
"13567","ENSG00000196611","MMP1","ENSG00000196611.4"
"13568","ENSG00000196616","ADH1B","ENSG00000196616.11"
"13569","ENSG00000196628","TCF4","ENSG00000196628.12"
"13570","ENSG00000196632","WNK3","ENSG00000196632.9"
"13571","ENSG00000196636","SDHAF3","ENSG00000196636.7"
"13572","ENSG00000196639","HRH1","ENSG00000196639.6"
"13573","ENSG00000196642","RABL6","ENSG00000196642.14"
"13574","ENSG00000196646","ZNF136","ENSG00000196646.10"
"13575","ENSG00000196652","ZKSCAN5","ENSG00000196652.10"
"13576","ENSG00000196653","ZNF502","ENSG00000196653.10"
"13577","ENSG00000196655","TRAPPC4","ENSG00000196655.8"
"13578","ENSG00000196659","TTC30B","ENSG00000196659.9"
"13579","ENSG00000196663","TECPR2","ENSG00000196663.14"
"13580","ENSG00000196664","TLR7","ENSG00000196664.4"
"13581","ENSG00000196668","LINC00173","ENSG00000196668.3"
"13582","ENSG00000196670","ZFP62","ENSG00000196670.12"
"13583","ENSG00000196678","ERI2","ENSG00000196678.12"
"13584","ENSG00000196683","TOMM7","ENSG00000196683.9"
"13585","ENSG00000196684","HSH2D","ENSG00000196684.11"
"13586","ENSG00000196693","ZNF33B","ENSG00000196693.13"
"13587","ENSG00000196696","PDXDC2P-NPIPB14P","ENSG00000196696.11"
"13588","ENSG00000196700","ZNF512B","ENSG00000196700.6"
"13589","ENSG00000196704","AMZ2","ENSG00000196704.10"
"13590","ENSG00000196705","ZNF431","ENSG00000196705.7"
"13591","ENSG00000196712","NF1","ENSG00000196712.15"
"13592","ENSG00000196715","VKORC1L1","ENSG00000196715.5"
"13593","ENSG00000196724","ZNF418","ENSG00000196724.11"
"13594","ENSG00000196730","DAPK1","ENSG00000196730.11"
"13595","ENSG00000196735","HLA-DQA1","ENSG00000196735.10"
"13596","ENSG00000196739","COL27A1","ENSG00000196739.13"
"13597","ENSG00000196741","LINC01560","ENSG00000196741.5"
"13598","ENSG00000196743","GM2A","ENSG00000196743.7"
"13599","ENSG00000196754","S100A2","ENSG00000196754.9"
"13600","ENSG00000196756","SNHG17","ENSG00000196756.10"
"13601","ENSG00000196757","ZNF700","ENSG00000196757.6"
"13602","ENSG00000196776","CD47","ENSG00000196776.13"
"13603","ENSG00000196781","TLE1","ENSG00000196781.12"
"13604","ENSG00000196782","MAML3","ENSG00000196782.11"
"13605","ENSG00000196787","H2AC11","ENSG00000196787.3"
"13606","ENSG00000196792","STRN3","ENSG00000196792.10"
"13607","ENSG00000196793","ZNF239","ENSG00000196793.12"
"13608","ENSG00000196810","CTBP1-DT","ENSG00000196810.4"
"13609","ENSG00000196812","ZSCAN16","ENSG00000196812.4"
"13610","ENSG00000196814","MVB12B","ENSG00000196814.13"
"13611","ENSG00000196821","ILRUN","ENSG00000196821.8"
"13612","ENSG00000196839","ADA","ENSG00000196839.11"
"13613","ENSG00000196843","ARID5A","ENSG00000196843.14"
"13614","ENSG00000196850","PPTC7","ENSG00000196850.5"
"13615","ENSG00000196865","NHLRC2","ENSG00000196865.4"
"13616","ENSG00000196866","H2AC7","ENSG00000196866.2"
"13617","ENSG00000196867","ZFP28","ENSG00000196867.6"
"13618","ENSG00000196872","CRACDL","ENSG00000196872.9"
"13619","ENSG00000196873","CBWD3","ENSG00000196873.14"
"13620","ENSG00000196876","SCN8A","ENSG00000196876.12"
"13621","ENSG00000196878","LAMB3","ENSG00000196878.11"
"13622","ENSG00000196890","H2BU1","ENSG00000196890.4"
"13623","ENSG00000196911","KPNA5","ENSG00000196911.8"
"13624","ENSG00000196912","ANKRD36B","ENSG00000196912.11"
"13625","ENSG00000196914","ARHGEF12","ENSG00000196914.7"
"13626","ENSG00000196922","ZNF252P","ENSG00000196922.9"
"13627","ENSG00000196923","PDLIM7","ENSG00000196923.12"
"13628","ENSG00000196924","FLNA","ENSG00000196924.13"
"13629","ENSG00000196932","TMEM26","ENSG00000196932.10"
"13630","ENSG00000196935","SRGAP1","ENSG00000196935.7"
"13631","ENSG00000196937","FAM3C","ENSG00000196937.9"
"13632","ENSG00000196943","NOP9","ENSG00000196943.11"
"13633","ENSG00000196950","SLC39A10","ENSG00000196950.12"
"13634","ENSG00000196951","SCOC-AS1","ENSG00000196951.9"
"13635","ENSG00000196954","CASP4","ENSG00000196954.11"
"13636","ENSG00000196961","AP2A1","ENSG00000196961.11"
"13637","ENSG00000196967","ZNF585A","ENSG00000196967.9"
"13638","ENSG00000196968","FUT11","ENSG00000196968.9"
"13639","ENSG00000196972","SMIM10L2B","ENSG00000196972.7"
"13640","ENSG00000196975","ANXA4","ENSG00000196975.13"
"13641","ENSG00000196976","LAGE3","ENSG00000196976.6"
"13642","ENSG00000196981","WDR5B","ENSG00000196981.3"
"13643","ENSG00000196998","WDR45","ENSG00000196998.14"
"13644","ENSG00000197006","METTL9","ENSG00000197006.12"
"13645","ENSG00000197008","ZNF138","ENSG00000197008.8"
"13646","ENSG00000197013","ZNF429","ENSG00000197013.8"
"13647","ENSG00000197016","ZNF470","ENSG00000197016.10"
"13648","ENSG00000197019","SERTAD1","ENSG00000197019.4"
"13649","ENSG00000197020","ZNF100","ENSG00000197020.9"
"13650","ENSG00000197021","EOLA2","ENSG00000197021.7"
"13651","ENSG00000197024","ZNF398","ENSG00000197024.7"
"13652","ENSG00000197037","ZSCAN25","ENSG00000197037.9"
"13653","ENSG00000197043","ANXA6","ENSG00000197043.12"
"13654","ENSG00000197044","ZNF441","ENSG00000197044.9"
"13655","ENSG00000197045","GMFB","ENSG00000197045.11"
"13656","ENSG00000197046","SIGLEC15","ENSG00000197046.10"
"13657","ENSG00000197050","ZNF420","ENSG00000197050.9"
"13658","ENSG00000197054","ZNF763","ENSG00000197054.10"
"13659","ENSG00000197056","ZMYM1","ENSG00000197056.8"
"13660","ENSG00000197057","DTHD1","ENSG00000197057.7"
"13661","ENSG00000197062","ZSCAN26","ENSG00000197062.10"
"13662","ENSG00000197063","MAFG","ENSG00000197063.9"
