"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000248569","AC026410.3","ENSG00000248569.1"
"2","ENSG00000215835","AL596087.1","ENSG00000215835.2"
"3","ENSG00000226310","AL022157.1","ENSG00000226310.1"
"4","ENSG00000244926","ALKBH3-AS1","ENSG00000244926.5"
"5","ENSG00000271797","AC008494.3","ENSG00000271797.1"
"6","ENSG00000277548","AC018926.3","ENSG00000277548.1"
"7","ENSG00000280310","AC092437.1","ENSG00000280310.1"
"8","ENSG00000228150","AL357140.2","ENSG00000228150.1"
"9","ENSG00000272370","AC092354.2","ENSG00000272370.1"
"10","ENSG00000248503","AL356235.1","ENSG00000248503.2"
"11","ENSG00000260269","AC105036.3","ENSG00000260269.4"
"12","ENSG00000229109","AL137847.1","ENSG00000229109.1"
"13","ENSG00000233225","SSBP3P1","ENSG00000233225.3"
"14","ENSG00000256210","AC005255.1","ENSG00000256210.3"
"15","ENSG00000223343","AC137630.1","ENSG00000223343.1"
"16","ENSG00000234175","AL355355.2","ENSG00000234175.1"
"17","ENSG00000254783","AP003084.1","ENSG00000254783.1"
"18","ENSG00000267219","AC010504.1","ENSG00000267219.1"
"19","ENSG00000258644","SYNJ2BP-COX16","ENSG00000258644.4"
"20","ENSG00000279392","AL158801.5","ENSG00000279392.1"
"21","ENSG00000231887","PRH1","ENSG00000231887.5"
"22","ENSG00000271843","AC012557.1","ENSG00000271843.1"
"23","ENSG00000213763","ACTBP2","ENSG00000213763.4"
"24","ENSG00000227963","RBM15-AS1","ENSG00000227963.1"
"25","ENSG00000224831","TMEM183B","ENSG00000224831.3"
"26","ENSG00000219747","AL133260.1","ENSG00000219747.1"
"27","ENSG00000275710","AC007485.1","ENSG00000275710.1"
"28","ENSG00000253704","AC023632.2","ENSG00000253704.1"
"29","ENSG00000273901","AC012313.9","ENSG00000273901.1"
"30","ENSG00000248027","ARHGAP42-AS1","ENSG00000248027.1"
"31","ENSG00000274818","AC004825.2","ENSG00000274818.1"
"32","ENSG00000258561","AL359232.1","ENSG00000258561.1"
"33","ENSG00000272721","AC131235.2","ENSG00000272721.4"
"34","ENSG00000250021","ARPIN-AP3S2","ENSG00000250021.6"
"35","ENSG00000267216","ZNF8-ERVK3-1","ENSG00000267216.1"
"36","ENSG00000225339","AL354740.1","ENSG00000225339.3"
"37","ENSG00000254978","ALG1L9P","ENSG00000254978.2"
"38","ENSG00000272123","AC008966.2","ENSG00000272123.1"
"39","ENSG00000248278","SUMO2P17","ENSG00000248278.1"
"40","ENSG00000281641","SAMD12-AS1","ENSG00000281641.1"
"41","ENSG00000276571","AC002550.2","ENSG00000276571.1"
"42","ENSG00000228224","NACA4P","ENSG00000228224.3"
"43","ENSG00000182057","OGFRP1","ENSG00000182057.4"
"44","ENSG00000231167","YBX1P2","ENSG00000231167.3"
"45","ENSG00000178631","ACTG1P1","ENSG00000178631.7"
"46","ENSG00000237437","ASS1P12","ENSG00000237437.1"
"47","ENSG00000257591","ZNF625","ENSG00000257591.4"
"48","ENSG00000236349","SUCLG2P2","ENSG00000236349.1"
"49","ENSG00000258900","HNRNPCP1","ENSG00000258900.1"
"50","ENSG00000249244","AC110373.1","ENSG00000249244.1"
"51","ENSG00000258741","H2AZ2P1","ENSG00000258741.3"
"52","ENSG00000227527","AC096540.1","ENSG00000227527.2"
"53","ENSG00000237296","SMG1P1","ENSG00000237296.8"
"54","ENSG00000236456","AL035458.1","ENSG00000236456.1"
"55","ENSG00000213621","RPSAP54","ENSG00000213621.3"
"56","ENSG00000271119","AC026412.3","ENSG00000271119.1"
"57","ENSG00000278997","AL662907.1","ENSG00000278997.1"
"58","ENSG00000275963","AC008115.4","ENSG00000275963.1"
