"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000214593","AL354710.1","ENSG00000214593.3"
"2","ENSG00000250536","ABHD17AP3","ENSG00000250536.1"
"3","ENSG00000240096","AL132838.1","ENSG00000240096.1"
"4","ENSG00000224315","RPL7P7","ENSG00000224315.2"
"5","ENSG00000240003","RPL7P24","ENSG00000240003.2"
"6","ENSG00000249212","ATP1B1P1","ENSG00000249212.1"
"7","ENSG00000259918","NDUFA5P11","ENSG00000259918.1"
"8","ENSG00000267741","UBE2L4","ENSG00000267741.1"
"9","ENSG00000241030","RPL29P24","ENSG00000241030.1"
"10","ENSG00000248664","AC010273.2","ENSG00000248664.1"
"11","ENSG00000213569","AL390039.1","ENSG00000213569.4"
"12","ENSG00000214027","ARPC3P5","ENSG00000214027.3"
"13","ENSG00000229204","PTGES3P3","ENSG00000229204.3"
"14","ENSG00000243414","TICAM2","ENSG00000243414.5"
"15","ENSG00000268069","AC004466.1","ENSG00000268069.2"
"16","ENSG00000259397","AC021231.2","ENSG00000259397.3"
"17","ENSG00000232439","RPL18AP7","ENSG00000232439.1"
"18","ENSG00000272660","AC090425.2","ENSG00000272660.1"
"19","ENSG00000234488","RPL27P6","ENSG00000234488.1"
"20","ENSG00000240854","PSMC2P1","ENSG00000240854.1"
"21","ENSG00000232333","RPS27AP2","ENSG00000232333.1"
"22","ENSG00000213509","PPIAP16","ENSG00000213509.4"
"23","ENSG00000273212","AC000068.2","ENSG00000273212.1"
"24","ENSG00000232702","AL158050.1","ENSG00000232702.3"
"25","ENSG00000263781","AC024619.4","ENSG00000263781.3"
"26","ENSG00000226359","ACTG1P24","ENSG00000226359.1"
"27","ENSG00000274403","AC090510.2","ENSG00000274403.1"
"28","ENSG00000230079","STK24P1","ENSG00000230079.1"
"29","ENSG00000247763","AC106800.1","ENSG00000247763.2"
"30","ENSG00000270987","AL133338.2","ENSG00000270987.1"
"31","ENSG00000224553","RPS26P20","ENSG00000224553.1"
"32","ENSG00000258646","AL049780.1","ENSG00000258646.1"
"33","ENSG00000226310","AL022157.1","ENSG00000226310.1"
"34","ENSG00000259201","AC090971.3","ENSG00000259201.1"
"35","ENSG00000235734","HMGN1P36","ENSG00000235734.4"
"36","ENSG00000267048","AC092143.3","ENSG00000267048.1"
"37","ENSG00000213522","RAC1P5","ENSG00000213522.4"
"38","ENSG00000230199","AL603825.1","ENSG00000230199.1"
"39","ENSG00000213237","PTMAP10","ENSG00000213237.4"
