"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000267011","AC011498.1","ENSG00000267011.4"
"2","ENSG00000226310","AL022157.1","ENSG00000226310.1"
"3","ENSG00000230071","RPL4P6","ENSG00000230071.2"
"4","ENSG00000237437","ASS1P12","ENSG00000237437.1"
"5","ENSG00000224831","TMEM183B","ENSG00000224831.3"
"6","ENSG00000236814","AC046176.1","ENSG00000236814.1"
"7","ENSG00000273343","AC007663.4","ENSG00000273343.1"
"8","ENSG00000236869","ZKSCAN7-AS1","ENSG00000236869.1"
"9","ENSG00000256210","AC005255.1","ENSG00000256210.3"
"10","ENSG00000234817","ECI2-DT","ENSG00000234817.2"
"11","ENSG00000267274","AC008770.3","ENSG00000267274.1"
"12","ENSG00000254064","AC105206.2","ENSG00000254064.1"
"13","ENSG00000235078","AC231981.1","ENSG00000235078.1"
"14","ENSG00000258568","RHOQP1","ENSG00000258568.1"
"15","ENSG00000233266","HMGB1P31","ENSG00000233266.1"
"16","ENSG00000236349","SUCLG2P2","ENSG00000236349.1"
"17","ENSG00000270083","AL021878.2","ENSG00000270083.1"
"18","ENSG00000228251","AC012442.1","ENSG00000228251.1"
"19","ENSG00000230673","PABPC1P3","ENSG00000230673.3"
"20","ENSG00000240489","SETP14","ENSG00000240489.1"
"21","ENSG00000267302","RNFT1-DT","ENSG00000267302.4"
"22","ENSG00000239332","LINC01119","ENSG00000239332.4"
"23","ENSG00000258813","AL442663.3","ENSG00000258813.2"
"24","ENSG00000250151","ARPC4-TTLL3","ENSG00000250151.8"
"25","ENSG00000244515","KRT18P34","ENSG00000244515.1"
"26","ENSG00000254978","ALG1L9P","ENSG00000254978.2"
"27","ENSG00000270265","AC104819.3","ENSG00000270265.1"
"28","ENSG00000269925","Z98884.2","ENSG00000269925.1"
"29","ENSG00000273181","AC131235.3","ENSG00000273181.1"
"30","ENSG00000250365","AL139353.2","ENSG00000250365.5"
"31","ENSG00000249456","AL731577.2","ENSG00000249456.1"
"32","ENSG00000271797","AC008494.3","ENSG00000271797.1"
"33","ENSG00000215302","AC127502.1","ENSG00000215302.7"
"34","ENSG00000267698","AC002116.2","ENSG00000267698.1"
"35","ENSG00000228305","PRELID1P6","ENSG00000228305.2"
"36","ENSG00000253559","OSGEPL1-AS1","ENSG00000253559.1"
"37","ENSG00000215388","ACTG1P3","ENSG00000215388.3"
"38","ENSG00000130783","CCDC62","ENSG00000130783.12"
"39","ENSG00000237976","RFX5-AS1","ENSG00000237976.1"
"40","ENSG00000271967","AL583856.2","ENSG00000271967.1"
"41","ENSG00000232186","TERF1P7","ENSG00000232186.1"
"42","ENSG00000196860","TOMM20L","ENSG00000196860.6"
"43","ENSG00000236756","DNAJC9-AS1","ENSG00000236756.4"
"44","ENSG00000260743","AC007823.1","ENSG00000260743.1"
"45","ENSG00000276814","AC004801.6","ENSG00000276814.1"
"46","ENSG00000239650","GUSBP4","ENSG00000239650.4"
"47","ENSG00000260269","AC105036.3","ENSG00000260269.4"
"48","ENSG00000235400","AC104837.1","ENSG00000235400.1"
"49","ENSG00000236861","BET1-AS1","ENSG00000236861.5"
"50","ENSG00000273432","AC004951.4","ENSG00000273432.1"
"51","ENSG00000270953","AC007938.3","ENSG00000270953.1"
"52","ENSG00000237264","FTH1P11","ENSG00000237264.4"
"53","ENSG00000215283","HMGB3P24","ENSG00000215283.3"
"54","ENSG00000236411","NDUFAF4P3","ENSG00000236411.1"
