"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000261766","AC133550.3","ENSG00000261766.1"
"2","ENSG00000215835","AL596087.1","ENSG00000215835.2"
"3","ENSG00000231952","DPY19L1P2","ENSG00000231952.3"
"4","ENSG00000229097","CALM2P2","ENSG00000229097.1"
"5","ENSG00000233672","RNASEH2B-AS1","ENSG00000233672.5"
"6","ENSG00000232344","AC087163.2","ENSG00000232344.2"
"7","ENSG00000213430","HSPD1P1","ENSG00000213430.6"
"8","ENSG00000250151","ARPC4-TTLL3","ENSG00000250151.8"
"9","ENSG00000226648","PLCG1-AS1","ENSG00000226648.1"
"10","ENSG00000229237","HMGN1P37","ENSG00000229237.2"
"11","ENSG00000275389","AC068790.9","ENSG00000275389.1"
"12","ENSG00000269242","AC010422.3","ENSG00000269242.1"
"13","ENSG00000267179","AC008770.2","ENSG00000267179.1"
"14","ENSG00000250892","AC108475.1","ENSG00000250892.1"
"15","ENSG00000277687","AL139407.1","ENSG00000277687.1"
"16","ENSG00000217027","TPT1P4","ENSG00000217027.1"
"17","ENSG00000213881","NPM1P6","ENSG00000213881.3"
"18","ENSG00000254598","CSNK2A3","ENSG00000254598.2"
"19","ENSG00000199024","MIR103A2","ENSG00000199024.1"
"20","ENSG00000278867","AC090616.6","ENSG00000278867.1"
"21","ENSG00000261604","AC114947.2","ENSG00000261604.1"
"22","ENSG00000260037","AC104938.1","ENSG00000260037.4"
"23","ENSG00000215859","PDZK1P1","ENSG00000215859.7"
"24","ENSG00000207359","RNU6-925P","ENSG00000207359.1"
"25","ENSG00000235400","AC104837.1","ENSG00000235400.1"
"26","ENSG00000223343","AC137630.1","ENSG00000223343.1"
"27","ENSG00000198881","ASB12","ENSG00000198881.9"
"28","ENSG00000272910","AC090425.3","ENSG00000272910.1"
"29","ENSG00000273004","AL078644.1","ENSG00000273004.1"
"30","ENSG00000234664","HMGN2P5","ENSG00000234664.1"
"31","ENSG00000213406","ANXA2P1","ENSG00000213406.3"
"32","ENSG00000179766","ATP8B5P","ENSG00000179766.16"
"33","ENSG00000261596","AC005632.3","ENSG00000261596.2"
"34","ENSG00000256968","SNRPEP2","ENSG00000256968.1"
"35","ENSG00000246526","LINC02481","ENSG00000246526.2"
"36","ENSG00000279031","AC004232.2","ENSG00000279031.1"
"37","ENSG00000241923","RPL14P3","ENSG00000241923.2"
"38","ENSG00000230319","AL022476.1","ENSG00000230319.1"
"39","ENSG00000232546","AC027644.1","ENSG00000232546.1"
"40","ENSG00000180211","FO393411.1","ENSG00000180211.5"
"41","ENSG00000254759","NAP1L1P1","ENSG00000254759.1"
"42","ENSG00000232742","RHOQP2","ENSG00000232742.3"
"43","ENSG00000226312","CFLAR-AS1","ENSG00000226312.6"
"44","ENSG00000231767","RPS27AP5","ENSG00000231767.3"
"45","ENSG00000258561","AL359232.1","ENSG00000258561.1"
"46","ENSG00000243431","RPL5P30","ENSG00000243431.1"
"47","ENSG00000243829","AC011495.1","ENSG00000243829.1"
"48","ENSG00000225339","AL354740.1","ENSG00000225339.3"
"49","ENSG00000269984","AC078795.1","ENSG00000269984.1"
"50","ENSG00000235449","AC098934.2","ENSG00000235449.2"
"51","ENSG00000235298","AL354733.3","ENSG00000235298.1"
"52","ENSG00000270574","AC010680.2","ENSG00000270574.1"
"53","ENSG00000234286","AC006026.3","ENSG00000234286.1"
"54","ENSG00000228653","HNRNPCP7","ENSG00000228653.2"
"55","ENSG00000183977","PP2D1","ENSG00000183977.12"
"56","ENSG00000214820","MPRIPP1","ENSG00000214820.3"
"57","ENSG00000266601","AC018521.6","ENSG00000266601.1"
"58","ENSG00000266993","AL050343.2","ENSG00000266993.3"
"59","ENSG00000258741","H2AZ2P1","ENSG00000258741.3"
"60","ENSG00000278997","AL662907.1","ENSG00000278997.1"
"61","ENSG00000243547","HNRNPKP4","ENSG00000243547.1"
"62","ENSG00000246477","AF131216.1","ENSG00000246477.3"
"63","ENSG00000267342","AC087289.2","ENSG00000267342.1"
"64","ENSG00000246225","AC006299.1","ENSG00000246225.5"
"65","ENSG00000260367","AC109460.1","ENSG00000260367.2"
"66","ENSG00000243746","EEF1A1P10","ENSG00000243746.1"
"67","ENSG00000280010","AP001350.2","ENSG00000280010.1"
"68","ENSG00000275532","AC006449.2","ENSG00000275532.1"
"69","ENSG00000226310","AL022157.1","ENSG00000226310.1"
"70","ENSG00000198580","AC073343.1","ENSG00000198580.7"
