"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"9326","ENSG00000164494","PDSS2","ENSG00000164494.10"
"9327","ENSG00000164506","STXBP5","ENSG00000164506.13"
"9328","ENSG00000164520","RAET1E","ENSG00000164520.10"
"9329","ENSG00000164535","DAGLB","ENSG00000164535.13"
"9330","ENSG00000164542","KIAA0895","ENSG00000164542.11"
"9331","ENSG00000164543","STK17A","ENSG00000164543.5"
"9332","ENSG00000164548","TRA2A","ENSG00000164548.9"
"9333","ENSG00000164574","GALNT10","ENSG00000164574.14"
"9334","ENSG00000164576","SAP30L","ENSG00000164576.10"
"9335","ENSG00000164587","RPS14","ENSG00000164587.10"
"9336","ENSG00000164597","COG5","ENSG00000164597.12"
"9337","ENSG00000164603","BMT2","ENSG00000164603.10"
"9338","ENSG00000164604","GPR85","ENSG00000164604.11"
"9339","ENSG00000164609","SLU7","ENSG00000164609.8"
"9340","ENSG00000164610","RP9","ENSG00000164610.7"
"9341","ENSG00000164611","PTTG1","ENSG00000164611.11"
"9342","ENSG00000164615","CAMLG","ENSG00000164615.4"
"9343","ENSG00000164619","BMPER","ENSG00000164619.7"
"9344","ENSG00000164620","RELL2","ENSG00000164620.7"
"9345","ENSG00000164626","KCNK5","ENSG00000164626.8"
"9346","ENSG00000164631","ZNF12","ENSG00000164631.17"
"9347","ENSG00000164638","SLC29A4","ENSG00000164638.9"
"9348","ENSG00000164647","STEAP1","ENSG00000164647.7"
"9349","ENSG00000164649","CDCA7L","ENSG00000164649.18"
"9350","ENSG00000164654","MIOS","ENSG00000164654.14"
"9351","ENSG00000164659","ELAPOR2","ENSG00000164659.13"
"9352","ENSG00000164663","USP49","ENSG00000164663.12"
"9353","ENSG00000164674","SYTL3","ENSG00000164674.14"
"9354","ENSG00000164683","HEY1","ENSG00000164683.15"
"9355","ENSG00000164684","ZNF704","ENSG00000164684.12"
"9356","ENSG00000164687","FABP5","ENSG00000164687.9"
"9357","ENSG00000164691","TAGAP","ENSG00000164691.15"
"9358","ENSG00000164692","COL1A2","ENSG00000164692.16"
"9359","ENSG00000164694","FNDC1","ENSG00000164694.15"
"9360","ENSG00000164695","CHMP4C","ENSG00000164695.4"
"9361","ENSG00000164707","SLC13A4","ENSG00000164707.14"
"9362","ENSG00000164713","BRI3","ENSG00000164713.8"
