"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000231503","PTMAP4","ENSG00000231503.4"
"2","ENSG00000267277","AC024575.1","ENSG00000267277.1"
"3","ENSG00000135502","SLC26A10","ENSG00000135502.15"
"4","ENSG00000203546","AL139353.1","ENSG00000203546.6"
"5","ENSG00000277662","AL354696.1","ENSG00000277662.1"
"6","ENSG00000270228","AC079880.1","ENSG00000270228.1"
"7","ENSG00000234636","MED14OS","ENSG00000234636.2"
"8","ENSG00000273783","AL136040.1","ENSG00000273783.1"
"9","ENSG00000186105","LRRC70","ENSG00000186105.7"
"10","ENSG00000254783","AP003084.1","ENSG00000254783.1"
"11","ENSG00000271828","AC008937.3","ENSG00000271828.1"
"12","ENSG00000279948","AC008895.1","ENSG00000279948.1"
"13","ENSG00000224046","AC005076.1","ENSG00000224046.1"
"14","ENSG00000214439","FAM185BP","ENSG00000214439.3"
"15","ENSG00000250859","HNRNPKP1","ENSG00000250859.1"
"16","ENSG00000226803","ZNF451-AS1","ENSG00000226803.6"
"17","ENSG00000272606","AC015982.2","ENSG00000272606.1"
"18","ENSG00000164037","SLC9B1","ENSG00000164037.15"
"19","ENSG00000226754","AL606760.1","ENSG00000226754.1"
"20","ENSG00000204620","AC115618.1","ENSG00000204620.3"
"21","ENSG00000163467","TSACC","ENSG00000163467.10"
"22","ENSG00000257740","AC073896.3","ENSG00000257740.1"
"23","ENSG00000121101","TEX14","ENSG00000121101.14"
"24","ENSG00000229204","PTGES3P3","ENSG00000229204.3"
"25","ENSG00000270953","AC007938.3","ENSG00000270953.1"
"26","ENSG00000278918","AC080112.3","ENSG00000278918.1"
"27","ENSG00000272416","AC025175.1","ENSG00000272416.1"
"28","ENSG00000239827","SUGT1P3","ENSG00000239827.7"
"29","ENSG00000255458","AC108471.2","ENSG00000255458.4"
"30","ENSG00000240898","AC132942.1","ENSG00000240898.1"
"31","ENSG00000247853","AC006064.2","ENSG00000247853.2"
"32","ENSG00000269318","AC007292.2","ENSG00000269318.1"
"33","ENSG00000266896","AL354892.3","ENSG00000266896.1"
"34","ENSG00000232453","LINC02777","ENSG00000232453.4"
"35","ENSG00000259321","AL136295.2","ENSG00000259321.1"
"36","ENSG00000269194","AC006942.1","ENSG00000269194.1"
"37","ENSG00000272034","SNORD14A","ENSG00000272034.1"
"38","ENSG00000257681","AC025265.1","ENSG00000257681.1"
"39","ENSG00000224094","RPS24P8","ENSG00000224094.1"
"40","ENSG00000266921","AC006213.1","ENSG00000266921.1"
"41","ENSG00000224616","RTCA-AS1","ENSG00000224616.1"
"42","ENSG00000277959","AL162274.2","ENSG00000277959.1"
"43","ENSG00000180389","ATP5F1EP2","ENSG00000180389.6"
"44","ENSG00000213453","FTH1P3","ENSG00000213453.3"
"45","ENSG00000147127","RAB41","ENSG00000147127.7"
"46","ENSG00000240854","PSMC2P1","ENSG00000240854.1"
"47","ENSG00000275198","AL512791.2","ENSG00000275198.1"
"48","ENSG00000244363","RPL7P23","ENSG00000244363.3"
"49","ENSG00000176732","PFN4","ENSG00000176732.6"
"50","ENSG00000273306","AC018690.1","ENSG00000273306.1"
"51","ENSG00000207383","Y_RNA","ENSG00000207383.1"
"52","ENSG00000176054","RPL23P2","ENSG00000176054.6"
"53","ENSG00000234222","LIX1L-AS1","ENSG00000234222.5"
"54","ENSG00000244607","CCDC13","ENSG00000244607.4"
"55","ENSG00000137225","CAPN11","ENSG00000137225.11"
"56","ENSG00000273340","MICE","ENSG00000273340.1"
"57","ENSG00000230415","LINC01786","ENSG00000230415.1"
"58","ENSG00000175773","ZBTB44-DT","ENSG00000175773.11"
"59","ENSG00000231305","AC112484.1","ENSG00000231305.3"
"60","ENSG00000132010","ZNF20","ENSG00000132010.14"
"61","ENSG00000232748","AC135050.1","ENSG00000232748.3"
"62","ENSG00000263826","AC112907.3","ENSG00000263826.1"
"63","ENSG00000204706","MAMDC2-AS1","ENSG00000204706.13"
"64","ENSG00000262712","AC012676.1","ENSG00000262712.1"
"65","ENSG00000231177","LINC00852","ENSG00000231177.4"
"66","ENSG00000227963","RBM15-AS1","ENSG00000227963.1"
"67","ENSG00000228589","SPCS2P4","ENSG00000228589.3"
"68","ENSG00000203872","C6orf163","ENSG00000203872.6"
"69","ENSG00000245975","AC090515.2","ENSG00000245975.2"
"70","ENSG00000233225","SSBP3P1","ENSG00000233225.3"
"71","ENSG00000226415","TPI1P1","ENSG00000226415.1"
"72","ENSG00000225171","DUTP6","ENSG00000225171.2"
"73","ENSG00000240809","AC026877.1","ENSG00000240809.1"
"74","ENSG00000246763","RGMB-AS1","ENSG00000246763.5"
"75","ENSG00000255568","BRWD1-AS2","ENSG00000255568.3"
"76","ENSG00000136197","C7orf25","ENSG00000136197.11"
"77","ENSG00000281538","AC254562.3","ENSG00000281538.1"
"78","ENSG00000229808","AL391825.1","ENSG00000229808.1"
"79","ENSG00000272768","AC004854.2","ENSG00000272768.1"
"80","ENSG00000235387","SPAAR","ENSG00000235387.1"
"81","ENSG00000237877","LINC01473","ENSG00000237877.5"
"82","ENSG00000100038","TOP3B","ENSG00000100038.18"
"83","ENSG00000231234","SKP1P1","ENSG00000231234.2"
"84","ENSG00000260618","AC025917.1","ENSG00000260618.1"
"85","ENSG00000246339","EXTL3-AS1","ENSG00000246339.5"
"86","ENSG00000230149","AL021707.3","ENSG00000230149.2"
"87","ENSG00000232450","AL133517.1","ENSG00000232450.1"
"88","ENSG00000225151","GOLGA2P7","ENSG00000225151.9"
"89","ENSG00000205559","CHKB-DT","ENSG00000205559.3"
"90","ENSG00000258900","HNRNPCP1","ENSG00000258900.1"
"91","ENSG00000242474","AC093627.5","ENSG00000242474.1"
"92","ENSG00000272732","AC004982.1","ENSG00000272732.1"
"93","ENSG00000205790","DPP9-AS1","ENSG00000205790.1"
"94","ENSG00000223374","AC005104.1","ENSG00000223374.1"
"95","ENSG00000232671","ZNF687-AS1","ENSG00000232671.4"
"96","ENSG00000198416","ZNF658B","ENSG00000198416.9"
"97","ENSG00000213326","RPS7P11","ENSG00000213326.4"
"98","ENSG00000271452","AC005034.5","ENSG00000271452.1"
"99","ENSG00000274653","AC106782.5","ENSG00000274653.1"
"100","ENSG00000259523","AC022613.2","ENSG00000259523.1"
"101","ENSG00000279765","AC013394.1","ENSG00000279765.2"
"102","ENSG00000183604","SMG1P5","ENSG00000183604.13"
"103","ENSG00000149201","CCDC81","ENSG00000149201.8"
