"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000235734","HMGN1P36","ENSG00000235734.4"
"2","ENSG00000226055","PAICSP1","ENSG00000226055.2"
"3","ENSG00000226049","TLK2P1","ENSG00000226049.3"
"4","ENSG00000271040","AL390955.2","ENSG00000271040.1"
"5","ENSG00000248896","AC105001.1","ENSG00000248896.2"
"6","ENSG00000233247","AC002524.1","ENSG00000233247.3"
"7","ENSG00000228150","AL357140.2","ENSG00000228150.1"
"8","ENSG00000248559","AC109454.2","ENSG00000248559.1"
"9","ENSG00000277763","AL138995.1","ENSG00000277763.1"
"10","ENSG00000259075","POC1B-GALNT4","ENSG00000259075.5"
"11","ENSG00000225264","ZNRF2P2","ENSG00000225264.3"
"12","ENSG00000234817","ECI2-DT","ENSG00000234817.2"
"13","ENSG00000229388","LINC01715","ENSG00000229388.1"
"14","ENSG00000232150","ST13P4","ENSG00000232150.3"
"15","ENSG00000251495","PPIAP11","ENSG00000251495.1"
"16","ENSG00000253605","HNRNPA1P38","ENSG00000253605.1"
"17","ENSG00000267422","AC016582.2","ENSG00000267422.1"
"18","ENSG00000237356","AL365295.1","ENSG00000237356.4"
"19","ENSG00000198881","ASB12","ENSG00000198881.9"
"20","ENSG00000260273","AL359711.2","ENSG00000260273.1"
"21","ENSG00000253559","OSGEPL1-AS1","ENSG00000253559.1"
"22","ENSG00000248278","SUMO2P17","ENSG00000248278.1"
"23","ENSG00000238035","AC138035.1","ENSG00000238035.7"
"24","ENSG00000238832","AC004839.1","ENSG00000238832.1"
"25","ENSG00000243964","RPL23AP65","ENSG00000243964.1"
"26","ENSG00000237004","ZNRF2P1","ENSG00000237004.3"
"27","ENSG00000251485","NRBF2P6","ENSG00000251485.1"
"28","ENSG00000259020","AL049872.1","ENSG00000259020.3"
"29","ENSG00000263766","AC025682.1","ENSG00000263766.4"
"30","ENSG00000227959","AL451042.2","ENSG00000227959.1"
"31","ENSG00000224097","AC021148.1","ENSG00000224097.5"
"32","ENSG00000189419","SPATA41","ENSG00000189419.6"
"33","ENSG00000269559","AC093677.2","ENSG00000269559.2"
"34","ENSG00000281091","AL117327.1","ENSG00000281091.1"
"35","ENSG00000184274","LINC00315","ENSG00000184274.3"
"36","ENSG00000229932","YWHAZP3","ENSG00000229932.3"
"37","ENSG00000272910","AC090425.3","ENSG00000272910.1"
"38","ENSG00000242375","AL590705.3","ENSG00000242375.1"
"39","ENSG00000203288","TDRKH-AS1","ENSG00000203288.3"
"40","ENSG00000237118","CYP2F2P","ENSG00000237118.2"
"41","ENSG00000259088","AL137779.2","ENSG00000259088.1"
"42","ENSG00000261487","AC135048.1","ENSG00000261487.1"
"43","ENSG00000253773","C8orf37-AS1","ENSG00000253773.2"
"44","ENSG00000248569","AC026410.3","ENSG00000248569.1"
"45","ENSG00000260388","LINC00562","ENSG00000260388.2"
"46","ENSG00000279583","AC009086.2","ENSG00000279583.1"
"47","ENSG00000185839","AL035411.1","ENSG00000185839.3"
